----------------------------------------------------------------------------
        UniProt - Swiss-Prot Protein Knowledgebase
        SIB Swiss Institute of Bioinformatics; Geneva, Switzerland
        European Bioinformatics Institute (EBI); Hinxton, United Kingdom
        Protein Information Resource (PIR); Washington DC, USA
----------------------------------------------------------------------------

Description: Drosophila: entries, gene names and cross-references to
             FlyBase
Name:        fly.txt
Release:     2016_07 of 06-Jul-2016

----------------------------------------------------------------------------

More information on Drosophila, its  genome, proteome, biology and genetics,
is available from the following WWW servers:

FlyBase      : http://flybase.org/

For each Drosophila entry in Swiss-Prot we provide the following information:

1) Primary gene name

   We indicate as the primary gene name, the gene symbol  currently in use
   in FlyBase.

2) Drosophila FlyBase species 'code'

   If a sequence does not originate from Drosophila melanogaster, then the
   species of origin is indicated using the  FlyBase  four letter code for
   that  species.   Example, Dvir stands for Drosophila virilis. All these
   codes refer to Drosophila species with the exception of the following:

   Camo for Chymomyza amoena
   Salb for Scaptomyza albovittata
   Ztub for Zaprionus tuberculatus

3) Swiss-Prot entry name

4) Swiss-Prot primary accession number

5) FlyBase gene accession number

   If more than one Swiss-Prot entries are linked to the same FlyBase entry
   than only the FlyBase gene accession number is only indicated once. This
   occurs when multiple entries are created due to alternative  splicing or
   when a transposable element encodes for a number of putative proteins.


Gene name           Fly    Swiss-Prot               FlyBase
                    spec   Entry name   AC          gene AC
___________________ ____   _______________________  ___________
128up                      128UP_DROME  P32234      FBgn0010339
14-3-3epsilon              1433E_DROME  P92177      FBgn0020238
14-3-3zeta                 1433Z_DROME  P29310      FBgn0004907
140up                      140U_DROME   P81928      FBgn0010340
17.6\env                   ENV17_DROME  P04283      FBgn0027624
17.6\gag                   GAG17_DROME  P04282      FBgn0044339
17.6\pol                   POL3_DROME   P04323      FBgn0014453
297\env                    ENV2_DROME   P20829      FBgn0027623
297\gag                    GAG2_DROME   P20828      FBgn0044338
297\pol                    POL2_DROME   P20825      FBgn0027622
412\ORF3                   POL4_DROME   P10394      FBgn0043847
5-HT1A                     5HT2A_DROME  P28285      FBgn0004168
5-HT1B                     5HT2B_DROME  P28286      FBgn0263116
5-HT7                      5HT1R_DROME  P20905      FBgn0004573
a5                         OBA5_DROME   P54185      FBgn0011294
a6                         A6_DROME     O46341      FBgn0023130
a10                        OB10_DROME   Q27377      FBgn0011293
Aac11                      API5_DROME   Q9V431      FBgn0027885
Aatf                       AATF_DROME   Q9VM95      FBgn0031851
Aats-ala                   SYAC_DROME   Q9VLM8      FBgn0027094
Aats-ala-m                 SYAM_DROME   Q9VRJ1      FBgn0028962
Aats-arg                   SYRC_DROME   Q9VXN4      FBgn0027093
Aats-cys                   SYCC_DROME   Q7KN90      FBgn0027091
Aats-gln                   SYQ_DROME    Q9Y105      FBgn0027090
Aats-glupro                SYEP_DROME   P28668      FBgn0005674
Aats-met-m                 SYMM_DROME   Q9VFL5      FBgn0027083
Aats-phe-m                 SYFM_DROME   O16129      FBgn0275436
Aats-tyr-m                 SYYM_DROME   Q9W107      FBgn0035064
aay                        SERB_DROME   Q9VSY6      FBgn0023129
ab                         ABRU_DROME   Q24174      FBgn0264442
abd-A                      ABDA_DROME   P29555      FBgn0000014
Abd-B                      ABDB_DROME   P09087      FBgn0000015
Abl                        ABL_DROME    P00522      FBgn0000017
Abp1                       DBNL_DROME   Q9VU84      FBgn0036372
abs                        DDX41_DROME  Q9V3C0      FBgn0015331
ac                         AST5_DROME   P10083      FBgn0000022
Ac76E                      ADCY2_DROME  Q9VW60      FBgn0004852
Acam                       CALL_DROME   P49258      FBgn0011273
AcCoAS                     ACSA_DROME   Q9VP61      FBgn0012034
Ace                        ACES_DROME   P07140      FBgn0000024
Acer                       ACER_DROME   Q9VLJ6      FBgn0016122
acj6                       IPOU_DROME   P24350      FBgn0000028
Acp1                       CUA1_DROME   Q26416      FBgn0014454
Acp26Aa                    MS2A_DROME   P10333      FBgn0002855
                    Dmau   MS2A_DROMA   P33735      FBgn0012494
                    Dsec   MS2A_DROSE   P33736      FBgn0260790
                    Dsim   MS2A_DROSI   P33737      FBgn0012820
Acp26Ab                    MS2B_DROME   P10334      FBgn0002856
                    Dmau   MS2B_DROMA   P33738      FBgn0012495
                    Dsec   MS2B_DROSE   P33739      FBgn0260791
                    Dsim   MS2B_DROSI   P33740      FBgn0012821
Acp29AB                    A29AB_DROME  O46197      FBgn0015583
                    Dsim   A29AB_DROSI  Q9U968      FBgn0027418
Acp32CD                    A32CD_DROME  O46203      FBgn0023415
Acp33A                     A33A_DROME   O46227      FBgn0267327
Acp36DE                    A36DE_DROME  Q9V3R1      FBgn0011559
Acp53Ea                    A53E_DROME   O46199      FBgn0015584
Acp62F                     A62F_DROME   O46202      FBgn0020509
Acp63F                     A63F_DROME   O46200      FBgn0015585
