gene	CFU	poly	unk	int	mys	mid
Mir682	13.6570727685	13.9478560649	0.13750352375	0.13750352375	0.13750352375	13.5727002265
Slc4a1	1.60270391212	9.72957316272	9.60317009935	4.85652263881	1.4407077428	0.534597531824
Tmem184a	0.881800073608	8.31291471237	8.83809141319	6.71863561627	1.05856517885	4.2998820346
Epb4.9	0.200264784158	8.06653054456	8.17552959103	6.89509657658	1.39596762857	4.56229738299
Mir3062	5.28989715762	0.13750352375	0.13750352375	6.54262177359	5.61221093547	0.13750352375
Alas2	0.509515462111	7.75412587878	7.29193502157	4.91973574427	1.70722438221	2.22567905002
Fam132b	0.67703730222	6.51955762972	7.7160649137	5.07708060113	1.27639542033	2.09164229442
Csf2rb2	2.46662973007	8.01642388915	7.72734189952	5.80936041934	1.41123098055	2.84390346883
2310046K01Rik	0.145778143645	5.79585004994	6.31276862398	3.20956253842	0.21263943314	0.549256138613
Car1	6.69610512788	1.55260331988	3.11495331303	6.56519197022	8.72879125286	8.02465212039
Cmtm7	7.01414324765	0.561622344314	0.13750352375	0.13750352375	0.178962021054	0.13750352375
Ypel4	0.311318261957	6.77889190709	6.48410428742	4.42341009327	1.00439639977	2.4870540935
Ypel3	3.86927920734	8.92547136198	9.00297249419	5.77896547725	2.49284789225	4.16669937923
Mir703	0.13750352375	0.13750352375	0.13750352375	0.13750352375	6.68001485318	0.13750352375
Arhgap23	3.36821798096	9.34748628259	9.87606872061	7.73849764389	4.63355327045	7.2491798365
B230312A22Rik	3.35560128871	8.1336765401	7.66625951486	4.22988781218	1.53105451658	4.12929126089
Tmcc2	3.49421077669	9.67626917157	9.34870381408	6.6516501778	4.20772889971	6.16103511207
Hbb-y	4.6919687214	7.66662530563	7.46990727312	5.2278988666	2.55585816313	1.33714515757
Pdia2	0.766620602123	7.20280949213	6.77745916881	6.04264433741	2.7624040984	3.68284293477
Csf2rb	5.13803214184	9.96858040168	10.6274153269	9.03868034889	4.87744979234	6.99154452087
Gata1	5.38415689943	11.6029307909	11.9443130872	11.0211812634	8.8366468824	9.95689157271
Ache	4.15396742754	9.22755096653	9.41232002618	7.86607341608	3.8343775009	6.97583650663
Snrpn	0.13750352375	0.13750352375	0.13750352375	0.13750352375	6.0862891134	0.13750352375
Myb	5.93296351866	0.64476260995	1.16587335939	3.74909441998	5.96051866039	5.45281614436
Coro1a	7.11265843576	1.10141476181	0.661900974534	1.31199710453	2.96826957984	1.81096127044
Btg2	2.01996161175	7.96788908329	7.78240856493	6.64186534031	3.54670928928	6.02548288838
Snora33	0.13750352375	0.13750352375	0.13750352375	0.13750352375	0.13750352375	5.95515236073
