ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	33205	1	0	0.000000	349.680500	349.560518	0.000000	0.000000	0	0	0
2	7474	1	2	0.000000	349.898448	349.898448	0.000000	0.000000	0	0	0
3	5562	2	0	0.000000	336.100863	336.100863	0.000000	0.000000	0	0	0
4	11	1	2	0.000000	1734.545455	1734.545455	0.000000	0.000000	0	0	0
5	109	2	2	0.000000	2120.522936	1977.651376	0.000000	0.000000	0	0	0
6	14518	2	1	0.000000	466.474790	465.239702	0.000000	0.000000	0	0	0
7	31	1	1	0.000000	1498.193548	1498.193548	0.000000	0.000000	0	0	0
8	28	1	1	0.000000	373.035714	373.035714	0.000000	0.000000	0	0	0
9	3	1	2	0.000000	375.666667	375.666667	0.000000	0.000000	0	0	0
10	6	2	2	0.000000	361.500000	361.500000	0.000000	0.000000	0	0	0
11	31	1	1	0.000000	382.161290	382.161290	0.000000	0.000000	0	0	0
12	123	2	2	0.000000	2262.943089	2209.813008	0.000000	0.000000	0	0	0
13	22	2	1	0.000000	571.681818	571.681818	0.000000	0.000000	0	0	0
14	13	1	1	0.000000	559.846154	559.846154	0.000000	0.000000	0	0	0
15	7	2	2	0.000000	857.428571	857.428571	0.000000	0.000000	0	0	0
16	1	2	1	0.000000	586.000000	586.000000	0.000000	0.000000	0	0	0
17	10	1	1	0.000000	308.300000	308.300000	0.000000	0.000000	0	0	0
18	20	2	2	0.000000	890.350000	769.750000	0.000000	0.000000	0	0	0
19	12	3	1	0.000000	575.416667	273.916667	0.000000	0.000000	0	0	0
20	11	1	1	0.000000	266.727273	266.727273	0.000000	0.000000	0	0	0
21	31	2	1	0.000000	1921.451613	1921.451613	0.000000	0.000000	0	0	0
22	26	1	1	0.000000	1771.269231	1771.269231	0.000000	0.000000	0	0	0
23	5	2	2	0.000000	1860.400000	1860.400000	0.000000	0.000000	0	0	0
24	12	2	1	0.000000	313.916667	313.916667	0.000000	0.000000	0	0	0
25	13410	2	1	0.000000	340.812603	340.810887	0.000000	0.000000	0	0	0
26	1	1	1	0.000000	298.000000	298.000000	0.000000	0.000000	0	0	0
27	5324	3	1	0.000000	388.069121	386.237791	0.000000	0.000000	0	0	0
28	3	1	2	0.000000	1343.666667	988.666667	0.000000	0.000000	0	0	0
29	19881	1	2	0.000000	361.190986	361.125296	0.000000	0.000000	0	0	0
30	37	1	1	0.000000	46.567568	46.567568	0.000000	0.000000	0	0	0
31	31	2	1	0.000000	247.290323	247.290323	0.000000	0.000000	0	0	0
32	9	1	1	0.000000	16.333333	16.333333	0.000000	0.000000	0	0	0
33	19	1	1	0.000000	2.315789	2.315789	0.000000	0.000000	0	0	0
34	12	1	1	0.000000	12.250000	12.250000	0.000000	0.000000	0	0	0
35	9	1	1	0.000000	1235.666667	37.222222	0.000000	0.000000	0	0	0
36	13	1	1	0.000000	5.384615	5.384615	0.000000	0.000000	0	0	0
37	9	1	1	0.000000	2.555556	2.555556	0.000000	0.000000	0	0	0
38	31	1	2	0.000000	1.419355	1.419355	0.000000	0.000000	0	0	0
39	31	1	1	0.000000	2.419355	1.806452	0.000000	0.000000	0	0	0
40	17	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
