ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	288	0	0	0.000000	2.038194	2.038194	0.000000	0.000000	0	0	0
2	276	0	0	0.000000	1.771739	1.771739	0.000000	0.000000	0	0	0
3	286	0	0	0.000000	2.034965	2.034965	0.000000	0.000000	0	0	0
4	161	0	0	0.000000	1.881988	1.881988	0.000000	0.000000	0	0	0
5	301	0	0	0.000000	3.019934	3.019934	0.000000	0.000000	0	0	0
6	91	0	0	0.000000	2.494505	2.494505	0.000000	0.000000	0	0	0
7	175	0	0	0.000000	1.548571	1.548571	0.000000	0.000000	0	0	0
8	74	0	0	0.000000	1.162162	1.162162	0.000000	0.000000	0	0	0
9	512	0	0	0.000000	2.654297	2.654297	0.000000	0.000000	0	0	0
10	649	0	0	0.000000	3.714946	3.714946	0.000000	0.000000	0	0	0
11	348	1	0	0.000000	1.982759	1.982759	0.000000	0.000000	0	0	0
12	968	0	0	0.000000	1.780992	1.780992	0.000000	0.000000	0	0	0
13	77	0	0	0.000000	2.467532	2.467532	0.000000	0.000000	0	0	0
14	113	0	0	0.000000	2.876106	2.876106	0.000000	0.000000	0	0	0
15	122	0	0	0.000000	3.049180	3.049180	0.000000	0.000000	0	0	0
16	86	0	0	0.000000	1.476744	1.476744	0.000000	0.000000	0	0	0
17	250	0	0	0.000000	2.240000	2.240000	0.000000	0.000000	0	0	0
18	316	0	0	0.000000	2.579114	2.579114	0.000000	0.000000	0	0	0
19	327	0	0	0.000000	2.773700	2.773700	0.000000	0.000000	0	0	0
20	65	0	0	0.000000	1.415385	1.415385	0.000000	0.000000	0	0	0
21	85	0	0	0.000000	1.364706	1.364706	0.000000	0.000000	0	0	0
22	181	0	0	0.000000	1.541436	1.541436	0.000000	0.000000	0	0	0
23	120	0	0	0.000000	2.925000	2.925000	0.000000	0.000000	0	0	0
24	90	0	0	0.000000	2.300000	2.300000	0.000000	0.000000	0	0	0
25	72	0	0	0.000000	1.569444	1.569444	0.000000	0.000000	0	0	0
26	73	0	0	0.000000	1.917808	1.917808	0.000000	0.000000	0	0	0
27	93	0	0	0.000000	1.086022	1.086022	0.000000	0.000000	0	0	0
28	946	0	0	0.000000	2.979915	2.979915	0.000000	0.000000	0	0	0
29	92	0	0	0.000000	2.608696	2.608696	0.000000	0.000000	0	0	0
30	91	0	0	0.000000	1.956044	1.956044	0.000000	0.000000	0	0	0
31	260	0	0	0.000000	2.053846	2.053846	0.000000	0.000000	0	0	0
32	106	0	0	0.000000	2.471698	2.471698	0.000000	0.000000	0	0	0
33	71	0	0	0.000000	2.323944	2.323944	0.000000	0.000000	0	0	0
34	81	0	0	0.000000	2.271605	2.271605	0.000000	0.000000	0	0	0
35	132	0	0	0.000000	2.242424	2.242424	0.000000	0.000000	0	0	0
36	602	0	2	0.000000	7.767442	7.488372	0.000000	0.000000	0	0	0
37	311	0	0	0.000000	2.623794	2.623794	0.000000	0.000000	0	0	0
38	199	0	0	0.000000	1.718593	1.718593	0.000000	0.000000	0	0	0
39	135	0	0	0.000000	1.859259	1.859259	0.000000	0.000000	0	0	0
40	242	0	0	0.000000	3.380165	3.380165	0.000000	0.000000	0	0	0
41	97	0	0	0.000000	2.247423	2.247423	0.000000	0.000000	0	0	0
42	290	0	0	0.000000	1.810345	1.810345	0.000000	0.000000	0	0	0
43	326	0	0	0.000000	2.570552	2.570552	0.000000	0.000000	0	0	0
44	546	0	0	0.000000	2.564103	2.564103	0.000000	0.000000	0	0	0
45	401	0	0	0.000000	3.047382	3.047382	0.000000	0.000000	0	0	0
46	291	0	0	0.000000	1.945017	1.945017	0.000000	0.000000	0	0	0
47	163	0	0	0.000000	1.496933	1.496933	0.000000	0.000000	0	0	0
48	70	0	0	0.000000	1.828571	1.828571	0.000000	0.000000	0	0	0
49	101	0	0	0.000000	2.079208	2.079208	0.000000	0.000000	0	0	0
50	240	0	0	0.000000	2.275000	2.275000	0.000000	0.000000	0	0	0
51	161	0	0	0.000000	2.378882	2.378882	0.000000	0.000000	0	0	0
52	242	0	0	0.000000	1.433884	1.433884	0.000000	0.000000	0	0	0
53	405	0	0	0.000000	2.654321	2.654321	0.000000	0.000000	0	0	0
54	70	0	0	0.000000	1.400000	1.400000	0.000000	0.000000	0	0	0
55	90	0	0	0.000000	2.977778	2.977778	0.000000	0.000000	0	0	0
56	74	0	0	0.000000	2.783784	2.783784	0.000000	0.000000	0	0	0
57	501	0	0	0.000000	1.762475	1.762475	0.000000	0.000000	0	0	0
58	365	0	0	0.000000	2.613699	2.613699	0.000000	0.000000	0	0	0
59	71	0	0	0.000000	1.915493	1.915493	0.000000	0.000000	0	0	0
60	89	0	0	0.000000	2.516854	2.516854	0.000000	0.000000	0	0	0
61	115	0	0	0.000000	2.556522	2.556522	0.000000	0.000000	0	0	0
62	423	0	0	0.000000	2.685579	2.685579	0.000000	0.000000	0	0	0
63	201	0	0	0.000000	2.980100	2.980100	0.000000	0.000000	0	0	0
64	74	0	0	0.000000	2.770270	2.770270	0.000000	0.000000	0	0	0
65	64	0	0	0.000000	1.562500	1.562500	0.000000	0.000000	0	0	0
66	200	0	0	0.000000	1.715000	1.715000	0.000000	0.000000	0	0	0
67	107	0	0	0.000000	1.560748	1.560748	0.000000	0.000000	0	0	0
68	84	0	0	0.000000	1.880952	1.880952	0.000000	0.000000	0	0	0
69	70	0	0	0.000000	1.857143	1.857143	0.000000	0.000000	0	0	0
70	105	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
71	110	0	0	0.000000	1.236364	1.236364	0.000000	0.000000	0	0	0
72	218	0	0	0.000000	1.490826	1.490826	0.000000	0.000000	0	0	0
73	423	0	0	0.000000	2.645390	2.645390	0.000000	0.000000	0	0	0
74	70	0	0	0.000000	1.485714	1.485714	0.000000	0.000000	0	0	0
75	139	0	0	0.000000	1.661871	1.661871	0.000000	0.000000	0	0	0
76	491	0	0	0.000000	2.405295	2.405295	0.000000	0.000000	0	0	0
77	70	0	0	0.000000	2.214286	2.214286	0.000000	0.000000	0	0	0
78	74	0	0	0.000000	2.554054	2.554054	0.000000	0.000000	0	0	0
79	275	0	0	0.000000	2.032727	2.032727	0.000000	0.000000	0	0	0
80	368	0	0	0.000000	2.062500	2.062500	0.000000	0.000000	0	0	0
81	304	0	0	0.000000	1.493421	1.493421	0.000000	0.000000	0	0	0
82	70	0	0	0.000000	1.585714	1.585714	0.000000	0.000000	0	0	0
83	70	0	0	0.000000	2.271429	2.271429	0.000000	0.000000	0	0	0
84	108	0	0	0.000000	1.703704	1.703704	0.000000	0.000000	0	0	0
85	202	0	0	0.000000	2.975248	2.975248	0.000000	0.000000	0	0	0
86	245	0	0	0.000000	1.885714	1.885714	0.000000	0.000000	0	0	0
87	70	0	0	0.000000	1.342857	1.342857	0.000000	0.000000	0	0	0
88	231	0	0	0.000000	2.259740	2.259740	0.000000	0.000000	0	0	0
89	272	0	0	0.000000	1.555147	1.555147	0.000000	0.000000	0	0	0
90	242	0	0	0.000000	1.599174	1.599174	0.000000	0.000000	0	0	0
91	94	2	0	0.000000	2.670213	2.670213	0.000000	0.000000	0	0	0
92	96	0	0	0.000000	1.447917	1.447917	0.000000	0.000000	0	0	0
93	225	0	0	0.000000	1.720000	1.720000	0.000000	0.000000	0	0	0
94	234	0	0	0.000000	1.192308	1.192308	0.000000	0.000000	0	0	0
95	263	0	0	0.000000	1.802281	1.802281	0.000000	0.000000	0	0	0
96	84	0	0	0.000000	3.023810	3.023810	0.000000	0.000000	0	0	0
97	70	0	0	0.000000	2.714286	2.714286	0.000000	0.000000	0	0	0
98	194	0	0	0.000000	1.742268	1.742268	0.000000	0.000000	0	0	0
99	659	0	0	0.000000	2.280728	2.280728	0.000000	0.000000	0	0	0
100	118	0	0	0.000000	1.601695	1.601695	0.000000	0.000000	0	0	0
101	133	0	0	0.000000	1.947368	1.947368	0.000000	0.000000	0	0	0
102	101	0	0	0.000000	1.247525	1.247525	0.000000	0.000000	0	0	0
103	99	0	0	0.000000	1.949495	1.949495	0.000000	0.000000	0	0	0
104	70	0	0	0.000000	2.414286	2.414286	0.000000	0.000000	0	0	0
105	91	0	0	0.000000	2.021978	2.021978	0.000000	0.000000	0	0	0
106	125	0	0	0.000000	1.232000	1.232000	0.000000	0.000000	0	0	0
107	110	0	0	0.000000	1.500000	1.500000	0.000000	0.000000	0	0	0
108	75	0	0	0.000000	2.333333	2.333333	0.000000	0.000000	0	0	0
109	70	0	0	0.000000	2.442857	2.442857	0.000000	0.000000	0	0	0
110	42	2	1	0.000000	2.523810	2.523810	0.000000	0.000000	0	0	0
111	31	1	1	0.000000	1.064516	1.064516	0.000000	0.000000	0	0	0
112	12	2	2	0.000000	3.416667	3.416667	0.000000	0.000000	0	0	0
113	31	1	1	0.000000	1.290323	1.290323	0.000000	0.000000	0	0	0
114	70	0	0	0.000000	1.857143	1.857143	0.000000	0.000000	0	0	0
115	92	0	0	0.000000	2.815217	2.815217	0.000000	0.000000	0	0	0
116	73	0	0	0.000000	1.917808	1.917808	0.000000	0.000000	0	0	0
117	99	0	0	0.000000	1.313131	1.313131	0.000000	0.000000	0	0	0
118	342	0	0	0.000000	1.602339	1.602339	0.000000	0.000000	0	0	0
119	232	0	0	0.000000	1.159483	1.159483	0.000000	0.000000	0	0	0
120	31	1	1	0.000000	1.580645	1.580645	0.000000	0.000000	0	0	0
121	181	0	0	0.000000	1.430939	1.430939	0.000000	0.000000	0	0	0
122	113	0	0	0.000000	1.336283	1.336283	0.000000	0.000000	0	0	0
123	106	0	0	0.000000	1.660377	1.660377	0.000000	0.000000	0	0	0
124	70	0	0	0.000000	1.400000	1.400000	0.000000	0.000000	0	0	0
125	70	0	0	0.000000	2.200000	2.200000	0.000000	0.000000	0	0	0
126	88	0	0	0.000000	2.170455	2.170455	0.000000	0.000000	0	0	0
127	94	0	0	0.000000	2.053191	2.053191	0.000000	0.000000	0	0	0
128	231	0	0	0.000000	2.064935	2.064935	0.000000	0.000000	0	0	0
129	184	0	0	0.000000	1.820652	1.820652	0.000000	0.000000	0	0	0
130	480	0	0	0.000000	2.275000	2.275000	0.000000	0.000000	0	0	0
131	75	0	0	0.000000	1.280000	1.280000	0.000000	0.000000	0	0	0
132	91	0	0	0.000000	3.736264	3.736264	0.000000	0.000000	0	0	0
133	70	0	0	0.000000	1.800000	1.800000	0.000000	0.000000	0	0	0
134	239	0	0	0.000000	1.380753	1.380753	0.000000	0.000000	0	0	0
135	114	0	0	0.000000	2.105263	2.105263	0.000000	0.000000	0	0	0
136	171	0	0	0.000000	2.619883	2.619883	0.000000	0.000000	0	0	0
137	93	0	0	0.000000	2.010753	2.010753	0.000000	0.000000	0	0	0
138	260	0	0	0.000000	1.511538	1.511538	0.000000	0.000000	0	0	0
139	311	0	0	0.000000	1.787781	1.787781	0.000000	0.000000	0	0	0
140	285	0	0	0.000000	2.228070	2.228070	0.000000	0.000000	0	0	0
141	72	0	0	0.000000	3.680556	3.680556	0.000000	0.000000	0	0	0
142	70	0	0	0.000000	1.828571	1.828571	0.000000	0.000000	0	0	0
143	70	0	0	0.000000	1.371429	1.371429	0.000000	0.000000	0	0	0
144	104	0	0	0.000000	1.384615	1.384615	0.000000	0.000000	0	0	0
145	70	0	0	0.000000	1.985714	1.985714	0.000000	0.000000	0	0	0
146	325	0	0	0.000000	2.083077	2.083077	0.000000	0.000000	0	0	0
147	87	0	0	0.000000	1.586207	1.586207	0.000000	0.000000	0	0	0
148	103	0	0	0.000000	1.359223	1.359223	0.000000	0.000000	0	0	0
149	227	0	0	0.000000	2.986784	2.986784	0.000000	0.000000	0	0	0
150	322	0	0	0.000000	1.829193	1.829193	0.000000	0.000000	0	0	0
151	559	0	0	0.000000	3.220036	3.220036	0.000000	0.000000	0	0	0
152	213	0	0	0.000000	1.619718	1.619718	0.000000	0.000000	0	0	0
153	194	0	0	0.000000	1.195876	1.195876	0.000000	0.000000	0	0	0
154	71	0	0	0.000000	3.394366	3.394366	0.000000	0.000000	0	0	0
155	69	0	0	0.000000	1.782609	1.782609	0.000000	0.000000	0	0	0
156	74	0	0	0.000000	3.081081	3.081081	0.000000	0.000000	0	0	0
157	83	0	0	0.000000	2.240964	2.240964	0.000000	0.000000	0	0	0
158	118	0	0	0.000000	2.754237	2.754237	0.000000	0.000000	0	0	0
159	86	0	0	0.000000	2.267442	2.267442	0.000000	0.000000	0	0	0
160	62	0	0	0.000000	2.596774	2.596774	0.000000	0.000000	0	0	0
161	66	0	0	0.000000	2.636364	2.636364	0.000000	0.000000	0	0	0
162	179	0	0	0.000000	2.106145	2.106145	0.000000	0.000000	0	0	0
163	234	0	0	0.000000	3.358974	3.358974	0.000000	0.000000	0	0	0
164	125	0	0	0.000000	2.336000	2.336000	0.000000	0.000000	0	0	0
165	70	0	0	0.000000	1.600000	1.600000	0.000000	0.000000	0	0	0
166	65	0	0	0.000000	1.369231	1.369231	0.000000	0.000000	0	0	0
167	281	0	0	0.000000	1.896797	1.896797	0.000000	0.000000	0	0	0
168	114	0	0	0.000000	1.754386	1.754386	0.000000	0.000000	0	0	0
169	73	0	0	0.000000	1.712329	1.712329	0.000000	0.000000	0	0	0
170	88	0	0	0.000000	2.386364	2.386364	0.000000	0.000000	0	0	0
171	349	0	0	0.000000	1.848138	1.848138	0.000000	0.000000	0	0	0
172	105	0	0	0.000000	1.552381	1.552381	0.000000	0.000000	0	0	0
173	176	0	0	0.000000	1.687500	1.687500	0.000000	0.000000	0	0	0
174	225	0	0	0.000000	1.382222	1.382222	0.000000	0.000000	0	0	0
175	247	0	0	0.000000	1.700405	1.700405	0.000000	0.000000	0	0	0
176	436	0	0	0.000000	2.149083	2.149083	0.000000	0.000000	0	0	0
177	78	0	0	0.000000	2.705128	2.705128	0.000000	0.000000	0	0	0
178	70	0	0	0.000000	1.957143	1.957143	0.000000	0.000000	0	0	0
179	64	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
180	257	0	0	0.000000	1.587549	1.587549	0.000000	0.000000	0	0	0
181	70	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
182	84	0	0	0.000000	1.035714	1.035714	0.000000	0.000000	0	0	0
183	83	0	0	0.000000	3.036145	3.036145	0.000000	0.000000	0	0	0
184	71	0	0	0.000000	2.492958	2.492958	0.000000	0.000000	0	0	0
185	120	0	0	0.000000	1.158333	1.158333	0.000000	0.000000	0	0	0
186	82	0	0	0.000000	2.353659	2.353659	0.000000	0.000000	0	0	0
187	68	0	0	0.000000	1.779412	1.779412	0.000000	0.000000	0	0	0
188	90	0	0	0.000000	1.733333	1.733333	0.000000	0.000000	0	0	0
189	90	0	0	0.000000	1.622222	1.622222	0.000000	0.000000	0	0	0
190	234	0	0	0.000000	1.970085	1.970085	0.000000	0.000000	0	0	0
191	65	0	0	0.000000	1.753846	1.753846	0.000000	0.000000	0	0	0
192	99	0	0	0.000000	1.747475	1.747475	0.000000	0.000000	0	0	0
193	70	0	0	0.000000	1.457143	1.457143	0.000000	0.000000	0	0	0
194	70	0	0	0.000000	2.442857	2.442857	0.000000	0.000000	0	0	0
195	68	0	0	0.000000	1.985294	1.985294	0.000000	0.000000	0	0	0
196	70	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
197	239	0	0	0.000000	2.535565	2.535565	0.000000	0.000000	0	0	0
198	424	0	0	0.000000	2.259434	2.259434	0.000000	0.000000	0	0	0
199	70	0	0	0.000000	2.057143	2.057143	0.000000	0.000000	0	0	0
200	188	0	0	0.000000	1.404255	1.404255	0.000000	0.000000	0	0	0
201	244	0	0	0.000000	2.577869	2.577869	0.000000	0.000000	0	0	0
202	110	0	0	0.000000	1.536364	1.536364	0.000000	0.000000	0	0	0
203	70	0	0	0.000000	2.228571	2.228571	0.000000	0.000000	0	0	0
204	231	0	0	0.000000	2.337662	2.337662	0.000000	0.000000	0	0	0
205	265	0	0	0.000000	1.849057	1.849057	0.000000	0.000000	0	0	0
206	180	0	0	0.000000	1.450000	1.450000	0.000000	0.000000	0	0	0
207	70	0	0	0.000000	1.800000	1.800000	0.000000	0.000000	0	0	0
208	90	0	0	0.000000	2.655556	2.655556	0.000000	0.000000	0	0	0
209	70	0	0	0.000000	1.557143	1.557143	0.000000	0.000000	0	0	0
210	70	0	0	0.000000	1.485714	1.485714	0.000000	0.000000	0	0	0
211	88	0	0	0.000000	2.181818	2.181818	0.000000	0.000000	0	0	0
212	70	0	0	0.000000	2.485714	2.485714	0.000000	0.000000	0	0	0
213	70	0	0	0.000000	1.771429	1.771429	0.000000	0.000000	0	0	0
214	398	0	0	0.000000	2.193467	2.193467	0.000000	0.000000	0	0	0
215	172	0	0	0.000000	2.383721	2.383721	0.000000	0.000000	0	0	0
216	198	0	0	0.000000	1.050505	1.050505	0.000000	0.000000	0	0	0
217	70	0	0	0.000000	2.085714	2.085714	0.000000	0.000000	0	0	0
218	102	0	0	0.000000	2.098039	2.098039	0.000000	0.000000	0	0	0
219	83	0	0	0.000000	2.481928	2.481928	0.000000	0.000000	0	0	0
220	117	0	0	0.000000	1.905983	1.905983	0.000000	0.000000	0	0	0
221	70	0	0	0.000000	1.900000	1.900000	0.000000	0.000000	0	0	0
222	66	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
223	169	0	0	0.000000	1.952663	1.952663	0.000000	0.000000	0	0	0
224	171	0	0	0.000000	1.777778	1.777778	0.000000	0.000000	0	0	0
225	174	0	0	0.000000	1.103448	1.103448	0.000000	0.000000	0	0	0
226	65	0	0	0.000000	1.569231	1.569231	0.000000	0.000000	0	0	0
227	70	0	0	0.000000	1.457143	1.457143	0.000000	0.000000	0	0	0
228	70	0	0	0.000000	1.385714	1.385714	0.000000	0.000000	0	0	0
229	169	0	0	0.000000	1.875740	1.875740	0.000000	0.000000	0	0	0
230	288	0	0	0.000000	2.034722	2.034722	0.000000	0.000000	0	0	0
231	70	0	0	0.000000	1.271429	1.271429	0.000000	0.000000	0	0	0
232	70	0	0	0.000000	1.900000	1.900000	0.000000	0.000000	0	0	0
233	70	0	0	0.000000	1.685714	1.685714	0.000000	0.000000	0	0	0
234	85	0	0	0.000000	2.470588	2.470588	0.000000	0.000000	0	0	0
235	69	0	0	0.000000	1.956522	1.956522	0.000000	0.000000	0	0	0
236	70	0	0	0.000000	2.985714	2.985714	0.000000	0.000000	0	0	0
237	305	0	0	0.000000	2.642623	2.642623	0.000000	0.000000	0	0	0
238	110	0	0	0.000000	2.063636	2.063636	0.000000	0.000000	0	0	0
239	70	0	0	0.000000	1.714286	1.714286	0.000000	0.000000	0	0	0
240	72	0	0	0.000000	1.013889	1.013889	0.000000	0.000000	0	0	0
241	244	0	0	0.000000	1.372951	1.372951	0.000000	0.000000	0	0	0
242	255	0	0	0.000000	1.478431	1.478431	0.000000	0.000000	0	0	0
243	70	0	0	0.000000	2.214286	2.214286	0.000000	0.000000	0	0	0
244	76	0	0	0.000000	1.842105	1.842105	0.000000	0.000000	0	0	0
245	242	0	0	0.000000	1.446281	1.446281	0.000000	0.000000	0	0	0
246	106	0	0	0.000000	1.830189	1.830189	0.000000	0.000000	0	0	0
247	67	0	0	0.000000	1.313433	1.313433	0.000000	0.000000	0	0	0
248	70	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
249	70	0	0	0.000000	2.814286	2.814286	0.000000	0.000000	0	0	0
250	135	0	0	0.000000	2.037037	2.037037	0.000000	0.000000	0	0	0
251	290	0	0	0.000000	1.637931	1.637931	0.000000	0.000000	0	0	0
252	189	0	0	0.000000	1.423280	1.423280	0.000000	0.000000	0	0	0
253	96	0	0	0.000000	1.708333	1.708333	0.000000	0.000000	0	0	0
254	70	0	0	0.000000	1.742857	1.742857	0.000000	0.000000	0	0	0
255	64	0	0	0.000000	1.625000	1.625000	0.000000	0.000000	0	0	0
256	90	0	0	0.000000	1.455556	1.455556	0.000000	0.000000	0	0	0
257	232	0	0	0.000000	2.327586	2.327586	0.000000	0.000000	0	0	0
258	70	0	0	0.000000	1.500000	1.500000	0.000000	0.000000	0	0	0
259	177	0	0	0.000000	1.497175	1.497175	0.000000	0.000000	0	0	0
260	70	0	0	0.000000	1.928571	1.928571	0.000000	0.000000	0	0	0
261	70	0	0	0.000000	1.985714	1.985714	0.000000	0.000000	0	0	0
262	68	0	0	0.000000	1.852941	1.852941	0.000000	0.000000	0	0	0
263	229	0	0	0.000000	2.004367	2.004367	0.000000	0.000000	0	0	0
264	175	0	0	0.000000	1.588571	1.588571	0.000000	0.000000	0	0	0
265	65	0	0	0.000000	1.707692	1.707692	0.000000	0.000000	0	0	0
266	70	0	0	0.000000	1.885714	1.885714	0.000000	0.000000	0	0	0
267	70	0	0	0.000000	2.300000	2.300000	0.000000	0.000000	0	0	0
268	70	0	0	0.000000	2.085714	2.085714	0.000000	0.000000	0	0	0
269	70	0	0	0.000000	2.142857	2.142857	0.000000	0.000000	0	0	0
270	176	0	0	0.000000	2.386364	2.386364	0.000000	0.000000	0	0	0
271	63	0	0	0.000000	1.952381	1.952381	0.000000	0.000000	0	0	0
272	73	0	0	0.000000	2.534247	2.534247	0.000000	0.000000	0	0	0
273	89	0	0	0.000000	2.303371	2.303371	0.000000	0.000000	0	0	0
274	65	0	0	0.000000	1.630769	1.630769	0.000000	0.000000	0	0	0
275	77	0	0	0.000000	1.818182	1.818182	0.000000	0.000000	0	0	0
276	63	0	0	0.000000	1.952381	1.952381	0.000000	0.000000	0	0	0
277	233	0	0	0.000000	1.343348	1.343348	0.000000	0.000000	0	0	0
278	70	0	0	0.000000	1.514286	1.514286	0.000000	0.000000	0	0	0
279	236	0	0	0.000000	2.072034	2.072034	0.000000	0.000000	0	0	0
280	278	0	0	0.000000	1.665468	1.665468	0.000000	0.000000	0	0	0
281	73	0	0	0.000000	2.657534	2.657534	0.000000	0.000000	0	0	0
282	92	0	0	0.000000	2.956522	2.956522	0.000000	0.000000	0	0	0
283	86	0	0	0.000000	3.313953	3.313953	0.000000	0.000000	0	0	0
284	71	0	0	0.000000	1.887324	1.887324	0.000000	0.000000	0	0	0
285	72	0	0	0.000000	1.916667	1.916667	0.000000	0.000000	0	0	0
286	102	0	0	0.000000	2.049020	2.049020	0.000000	0.000000	0	0	0
287	74	0	0	0.000000	1.891892	1.891892	0.000000	0.000000	0	0	0
288	65	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
