# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Acan	ENSMUSG00000030607	ENSMUST00000032835	protein_coding	1	0	0	6	0	0	6	0	0	0	1	0	0
Cdk5rap2	ENSMUSG00000039298	ENSMUST00000076541	nonsense_mediated_decay	0	0	0	7	0	0	7	0	0	0	0	0	0
Cdk5rap2	ENSMUSG00000039298	ENSMUST00000144099	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0	0
Dnaic1	ENSMUSG00000061322	ENSMUST00000102963	protein_coding	0	1	0	0	0	0	1	0	0	1	0	0	0
Dnaic1	ENSMUSG00000061322	ENSMUST00000119127	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Dnaic1	ENSMUSG00000061322	ENSMUST00000143198	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1
Fam222b	ENSMUSG00000037750	ENSMUST00000073705	protein_coding	0	0	0	3	0	0	3	0	0	0	0	0	0
Fam222b	ENSMUSG00000037750	ENSMUST00000100782	protein_coding	0	0	0	3	0	0	3	0	0	0	0	0	0
Fam222b	ENSMUSG00000037750	ENSMUST00000155571	protein_coding	0	0	0	3	0	0	3	0	0	0	0	0	0
Gm11574	ENSMUSG00000085262	ENSMUST00000139752	processed_transcript	0	0	0	5	0	5	0	0	0	0	0	0	0
Gm12571	ENSMUSG00000060727	ENSMUST00000118132	processed_pseudogene	0	0	0	3	0	0	0	0	2	0	0	0	1
Mir7653	ENSMUSG00000099101	ENSMUST00000184358	miRNA	0	0	0	3	0	3	0	0	0	0	0	0	0
Mrpl10	ENSMUSG00000001445	ENSMUST00000001485	protein_coding	0	3	2	0	0	0	0	2	0	0	0	3	0
Mrpl10	ENSMUSG00000001445	ENSMUST00000054252	protein_coding	0	3	2	0	0	0	0	2	0	0	0	3	0
Nek8	ENSMUSG00000017405	ENSMUST00000017549	protein_coding	0	0	0	4	0	4	0	0	0	0	0	0	0
Nek8	ENSMUSG00000017405	ENSMUST00000125528	retained_intron	0	0	0	4	0	4	0	0	0	0	0	0	0
Nek8	ENSMUSG00000017405	ENSMUST00000131015	retained_intron	0	0	0	4	0	4	0	0	0	0	0	0	0
Nek8	ENSMUSG00000017405	ENSMUST00000141444	retained_intron	0	0	0	2	0	2	0	0	0	0	0	0	0
Nek8	ENSMUSG00000017405	ENSMUST00000142812	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
Nek8	ENSMUSG00000017405	ENSMUST00000147798	retained_intron	0	0	0	2	0	2	0	0	0	0	0	0	0
Nek8	ENSMUSG00000017405	ENSMUST00000152611	retained_intron	0	0	0	4	0	4	0	0	0	0	0	0	0
Osbpl7	ENSMUSG00000038534	ENSMUST00000090020	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	5
Osbpl7	ENSMUSG00000038534	ENSMUST00000154084	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	0	5
Osbpl7	ENSMUSG00000038534	ENSMUST00000168565	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	5
Proca1	ENSMUSG00000044122	ENSMUST00000060539	protein_coding	0	0	0	5	0	1	3	0	0	0	0	0	1
Proca1	ENSMUSG00000044122	ENSMUST00000078099	protein_coding	0	0	0	5	0	1	3	0	0	0	0	0	1
Proca1	ENSMUSG00000044122	ENSMUST00000108317	protein_coding	0	0	0	5	1	0	3	0	0	0	0	0	1
Proca1	ENSMUSG00000044122	ENSMUST00000124772	processed_transcript	0	0	0	1	0	1	0	0	0	0	0	0	0
Rab34	ENSMUSG00000002059	ENSMUST00000002128	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
Rab34	ENSMUSG00000002059	ENSMUST00000056241	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
Rab34	ENSMUSG00000002059	ENSMUST00000108322	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
Rab34	ENSMUSG00000002059	ENSMUST00000126864	retained_intron	0	0	0	1	0	0	0	0	1	0	0	0	0
Rab34	ENSMUSG00000002059	ENSMUST00000148603	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
Rab34	ENSMUSG00000002059	ENSMUST00000150941	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
Rab34	ENSMUSG00000002059	ENSMUST00000154542	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
Rab34	ENSMUSG00000002059	ENSMUST00000156435	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
Rpl23a	ENSMUSG00000058546	ENSMUST00000102483	protein_coding	0	0	0	3	0	0	3	0	0	0	0	0	0
Rpl23a	ENSMUSG00000058546	ENSMUST00000127270	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	3
Rpl23a	ENSMUSG00000058546	ENSMUST00000144561	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	3
Snord42a	ENSMUSG00000064540	ENSMUST00000082606	snoRNA	0	0	0	3	0	0	0	0	0	0	0	0	3
Snord42b	ENSMUSG00000065676	ENSMUST00000083742	snoRNA	0	0	0	3	0	0	0	0	0	0	0	0	3
Snord4a	ENSMUSG00000077625	ENSMUST00000104437	snoRNA	0	0	0	3	0	0	0	0	0	0	0	0	3
Supt6	ENSMUSG00000002052	ENSMUST00000002121	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
Supt6	ENSMUSG00000002052	ENSMUST00000108314	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
Tlcd1	ENSMUSG00000019437	ENSMUST00000092880	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0
Tlcd1	ENSMUSG00000019437	ENSMUST00000098545	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0
Tlcd1	ENSMUSG00000019437	ENSMUST00000108338	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0
Tlcd1	ENSMUSG00000019437	ENSMUST00000127587	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0
